time,entry_time,type_keylevel,key_level,value,delta_ema_h1
2020-01-07 23:00:00,2020-01-08 08:00:00,R,1582.227,10,True
2020-02-18 15:00:00,2020-02-28 15:00:00,R,1588.565,10,True
2020-03-05 14:00:00,2020-03-06 15:00:00,R,1652.873,10,True
2020-03-08 22:00:00,2020-03-09 03:00:00,R,1689.262,10,True
2020-08-04 14:00:00,2020-08-11 11:00:00,R,1980.775,10,True
2020-08-17 13:00:00,2020-08-19 15:00:00,R,1959.094,10,False
2020-09-01 02:00:00,2020-09-01 14:00:00,R,1976.496,10,True
2020-10-21 12:00:00,2020-10-22 01:00:00,R,1918.446,10,True
2020-11-05 12:00:00,2020-11-09 12:00:00,R,1916.367,10,True
2020-11-05 15:00:00,2020-11-09 12:00:00,R,1931.375,10,True
2020-12-17 08:00:00,2020-12-21 10:00:00,R,1871.771,10,True
