time,entry_time,type_keylevel,key_level,value,delta_ema_h1
2022-02-11 18:00:00,2022-05-10 15:00:00,R,1841.916,10,True
2022-03-08 06:00:00,2022-03-08 08:00:00,R,2000.934,10,True
2022-04-12 14:00:00,2022-04-12 18:00:00,R,1966.189,10,True
2022-05-19 14:00:00,2022-05-20 14:00:00,R,1836.088,10,True
2022-07-22 13:00:00,2022-07-22 18:00:00,R,1723.871,10,True
2022-09-28 15:00:00,2022-09-29 05:00:00,R,1648.314,10,False
2022-10-21 15:00:00,2022-10-25 09:00:00,R,1641.488,10,False
2022-11-04 18:00:00,2022-11-07 01:00:00,R,1670.719,10,True
2022-11-10 14:00:00,2022-11-23 13:00:00,R,1729.507,10,True
2022-12-13 14:00:00,2022-12-13 15:00:00,R,1809.911,10,True
